address,lat,lon
"Unit 209, Pine Close, Newhaven BN9 0DH",50.800109,0.055496
"Unit 209, Pine Close, Newhaven BN9 0DH, GBR",50.800109,0.055496
"Pine Close, Newhaven BN9 0DH",50.800109,0.055496
"Pine Close, Newhaven BN9 0DH, GBR",50.800109,0.055496
"51 George Lane, London, England, E18 1LN, GBR",51.591142,0.028960
"51 George Lane, London, England, E18 1, GBR",51.591142,0.028960
"14 A. van Leeuwenhoekweg, 2408 AM, Alphen a d Rijn, Nederland",52.128643,4.645307
"A, Van Leeuwenhoekweg 14, 2408 AM Alphen aan den Rijn, Netherlands",52.128643,4.645307
"Reiver Garage Services, Duns TD11",55.782252,-2.338105
"Reiver Garage Services, Duns TD11, GBR",55.782252,-2.338105
"Agricar Ltd, Stirling",56.140603,-3.984313
"Agricar Ltd, Stirling, United Kingdom",56.140603,-3.984313
"KAAPSTADWEG 36 D 1047 AMSTERDAM",52.404891,4.739006
"KAAPSTADWEG 36 D 1047 AMSTERDAM, Nederland",52.404891,4.739006
"Witte Paal 329",52.778129,4.815768
"Witte Paal 329, Nederland",52.778129,4.815768
"Slotsweg 7",52.202146,6.632251
"Slotsweg 7, Nederland",52.202146,6.632251
"Aalsvoort 1",52.168644,6.392294
"Aalsvoort 1, Nederland",52.168644,6.392294
"6 DOLFIJN 1601 ENKHUIZEN",52.695506,5.271827
"6 DOLFIJN 1601 ENKHUIZEN, Nederland",52.695506,5.271827
"De Huchtstraat 5 1327 Almere",52.359500,5.258741
"De Huchtstraat 5 1327 Almere, Nederland",52.359500,5.258741
"DONAUWEG 11 1011 AMSTERDAM",52.394527,4.838175
"DONAUWEG 11 1011 AMSTERDAM, Nederland",52.394527,4.838175
"STUARTWEG 10 4131 VIANEN",51.984047,5.099642
"STUARTWEG 10 4131 VIANEN, Nederland",51.984047,5.099642
"Oude Middenweg 237, Leidshendam, NLD",52.075059,4.403634
"Plantage 12, Oude Wetering, NLD",52.207195,4.647462
"HOBARTS GARAGE ##, KILCOY, QLD, Australia",-26.943609,152.565254
"2/97 ARCHER STREET, WOODFORD, QLD, Australia",-26.953620,152.777805
"0685 - BP ARCHERFIELD COMMERCIAL, ARCHERFIELD, QLD, Australia",-27.565294,152.998437
"S480323 MAZDA H/O - SOUTHPORT MAZDA, ARUNDEL, QLD, Australia",27.967878,153.409699
"SY1 3TJ, GBR",52.745344,-2.739563
"B11 2PP, GBR",52.461279,-1.855262
"MK11 3EW DELIVER 12/4, GBR",52.045579,-0.823664
"West Midlands DY9 7ND, GBR",52.453528,-2.130114
"Unit 17D, Gainsborough Trading Estate, Rufford Rd, Stourbridge DY9 7ND, United Kingdom",52.453528,-2.130114
"MAIN ST & KATH FITZGERALD DVE, SAMFORD, QLD, Australia",-27.372564,152.886251
"CNR NOOSA DRIVE & SUNSHINE BEACH RD, NOOSA HEADS, QLD, Australia",-26.396400,153.089263
"LEVEL 3 - 44 MUSK AVENUE, KELVIN GROVE, QLD, Australia",-27.453366,153.013238
"421 ANNERLEY ROAD DEL TUES - FRI, ANNERLEY, QLD, Australia",-27.508276,153.032396
"Centre Commercial Des Raguenets, 95210 St Gratien, France",48.961582,2.284699
"6 T Place Rollon, 95770 Saint Clair Sur Epte, France",49.206672,1.679010
